Organism,Status,Island,Interac
Ant,Introduced,Fernandina,0
Ant,Introduced,Fernandina,0
Ant,Introduced,Fernandina,0
Ant,Introduced,Fernandina,0
Ant,Introduced,Fernandina,0
Ant,Introduced,Fernandina,0
Ant,Introduced,Fernandina,0
Ant,Introduced,Fernandina,0
Ant,Introduced,Fernandina,2
Ant,Introduced,Fernandina,5
Ant,Introduced,Fernandina,2
Ant,Introduced,Fernandina,0
Ant,Introduced,Fernandina,0
Ant,Introduced,Fernandina,0
Ant,Endemic,Fernandina,1
Ant,Endemic,Fernandina,65
Ant,Endemic,Fernandina,1
Ant,Introduced,Pinta,0
Ant,Introduced,Pinta,4
Ant,Introduced,Pinta,0
Ant,Introduced,Pinta,0
Ant,Introduced,Pinta,0
Ant,Introduced,Pinta,57
Ant,Introduced,Pinta,1
Ant,Introduced,Pinta,1
Ant,Introduced,Pinta,0
Ant,Introduced,Pinta,0
Ant,Introduced,Pinta,0
Ant,Introduced,Pinta,0
Ant,Introduced,Pinta,2
Ant,Introduced,Pinta,0
Ant,Endemic,Pinta,0
Ant,Endemic,Pinta,0
Ant,Endemic,Pinta,0
Ant,Introduced,Santiago,0
Ant,Introduced,Santiago,0
Ant,Introduced,Santiago,0
Ant,Introduced,Santiago,0
Ant,Introduced,Santiago,58
Ant,Introduced,Santiago,0
Ant,Introduced,Santiago,0
Ant,Introduced,Santiago,0
Ant,Introduced,Santiago,0
Ant,Introduced,Santiago,0
Ant,Introduced,Santiago,1
Ant,Introduced,Santiago,0
Ant,Introduced,Santiago,3
Ant,Introduced,Santiago,0
Ant,Endemic,Santiago,0
Ant,Endemic,Santiago,0
Ant,Endemic,Santiago,0
Ant,Introduced,San_Cristobal,26
Ant,Introduced,San_Cristobal,73
Ant,Introduced,San_Cristobal,1
Ant,Introduced,San_Cristobal,10
Ant,Introduced,San_Cristobal,0
Ant,Introduced,San_Cristobal,34
Ant,Introduced,San_Cristobal,0
Ant,Introduced,San_Cristobal,0
Ant,Introduced,San_Cristobal,0
Ant,Introduced,San_Cristobal,0
Ant,Introduced,San_Cristobal,53
Ant,Introduced,San_Cristobal,3
