Numberr,Plant_status,Plant_mean
1,Non-endemic ,0.282928475
2,Non-endemic ,0.88579614
3,Endemic,1.26153846
4,Non-endemic ,0.05555556
5,Non-endemic ,0.04395604
6,Non-endemic ,1
7,Non-endemic ,0.04615385
8,Non-endemic ,0.29767328
9,Endemic,0.618433117
10,Non-endemic ,0.86943316
11,Endemic,0.01538462
12,Non-endemic ,0.13989207
13,Non-endemic ,0.30884112
14,Endemic,3.2975722
15,Non-endemic ,0.062899105
16,Endemic,0.15458659
17,Endemic,0.815394953
18,Endemic,0.13846154
19,Non-endemic ,0.17071759
20,Endemic,0.09375
21,Endemic,0.07017544
22,Endemic,0.41538462
23,Endemic,0.154684095
24,Non-endemic ,0.79964675
25,Endemic,0.23076923
26,Non-endemic ,1.53846154
27,Non-endemic ,1.106229
28,Non-endemic ,0.01724138
29,Endemic,0.795418735
30,Endemic,0.10819539
31,Non-endemic ,0.01098901
32,Non-endemic ,1.009097
33,Non-endemic ,2.14533995
34,Endemic,0.13793103
35,Non-endemic ,0.06593586
36,Endemic,0.343621097
37,Non-endemic ,0.276366403
