,Brachymyrmex heeri ,Camponotus planus,Camponotus zonatus,Monomorium floricola,Paratrechina longicornis,Tapinoma melanocephalum
Cardiospermum galapageium,11,1,0,2,2,8
Chiococca alba,0,0,0,0,0,3
Cordia lutea,1,0,1,32,0,13
Croton scouleri,0,0,63,0,12,0
Cryptocarpus pyriformis,0,0,0,14,2,5
Galactia striata,0,0,0,5,3,3
Heliotropium angiospermum,0,0,0,0,0,4
Lantana peduncularis,0,0,0,0,6,5
Momordica charantia,0,0,0,5,0,5
Opuntia  echios,0,0,0,6,0,0
Pseudabutilon depauperatum,0,0,0,0,0,4
Rhynchosia minima,5,1,1,0,14,1
Tournefortia psilostachya,0,3,2,0,3,0
Tournefortia pubescens,0,0,2,0,3,2
Tournefortia rufosericea,0,0,1,0,0,0
Tribulus cistoides,1,0,0,0,13,0
Vachellia rorudiana,0,0,0,0,1,0
Varronia leucophlyctis,0,11,17,0,2,1
Volkameria mollis,0,0,4,0,0,0
